"도로형태별","시간대별","월별","항목","단위","2017 년","2018 년","2019 년","2020 년","2021 년",
"터널안","14시-16시","12월","사망자수[명]","명","0","1","0","0","0",
"터널안","14시-16시","12월","부상자수[명]","명","7","18","12","13","29",
"터널안","16시-18시","전체","사고건수[건]","건","113","101","92","106","112",
"터널안","16시-18시","전체","사망자수[명]","명","4","2","1","3","1",
"터널안","16시-18시","전체","부상자수[명]","명","290","237","243","255","292",
"터널안","16시-18시","1월","사고건수[건]","건","9","8","5","9","2",
"터널안","16시-18시","1월","사망자수[명]","명","0","0","0","0","0",
"터널안","16시-18시","1월","부상자수[명]","명","32","19","8","24","14",
"터널안","16시-18시","2월","사고건수[건]","건","3","7","6","9","7",
"터널안","16시-18시","2월","사망자수[명]","명","0","0","0","0","0",
"터널안","16시-18시","2월","부상자수[명]","명","9","16","20","14","18",
"터널안","16시-18시","3월","사고건수[건]","건","11","9","7","4","9",
"터널안","16시-18시","3월","사망자수[명]","명","1","0","1","0","0",
"터널안","16시-18시","3월","부상자수[명]","명","31","25","19","6","20",
"터널안","16시-18시","4월","사고건수[건]","건","8","8","4","8","9",
"터널안","16시-18시","4월","사망자수[명]","명","0","1","0","0","0",
"터널안","16시-18시","4월","부상자수[명]","명","36","12","8","15","16",
"터널안","16시-18시","5월","사고건수[건]","건","14","8","14","12","7",
"터널안","16시-18시","5월","사망자수[명]","명","0","0","0","0","0",
"터널안","16시-18시","5월","부상자수[명]","명","28","23","46","31","15",
"터널안","16시-18시","6월","사고건수[건]","건","7","8","8","11","9",
"터널안","16시-18시","6월","사망자수[명]","명","0","0","0","1","0",
"터널안","16시-18시","6월","부상자수[명]","명","15","14","36","34","34",
"터널안","16시-18시","7월","사고건수[건]","건","18","11","6","5","12",
"터널안","16시-18시","7월","사망자수[명]","명","2","0","0","0","0",
"터널안","16시-18시","7월","부상자수[명]","명","42","26","16","14","38",
"터널안","16시-18시","8월","사고건수[건]","건","9","10","11","10","11",
"터널안","16시-18시","8월","사망자수[명]","명","0","0","0","1","0",
"터널안","16시-18시","8월","부상자수[명]","명","25","18","27","33","29",
"터널안","16시-18시","9월","사고건수[건]","건","11","7","8","12","10",
"터널안","16시-18시","9월","사망자수[명]","명","1","0","0","0","0",
"터널안","16시-18시","9월","부상자수[명]","명","18","17","15","25","33",
"터널안","16시-18시","10월","사고건수[건]","건","6","10","7","2","13",
"터널안","16시-18시","10월","사망자수[명]","명","0","0","0","0","1",
"터널안","16시-18시","10월","부상자수[명]","명","8","21","18","4","32",
"터널안","16시-18시","11월","사고건수[건]","건","11","10","11","7","7",
"터널안","16시-18시","11월","사망자수[명]","명","0","0","0","0","0",
"터널안","16시-18시","11월","부상자수[명]","명","30","37","20","18","15",
"터널안","16시-18시","12월","사고건수[건]","건","6","5","5","17","16",
"터널안","16시-18시","12월","사망자수[명]","명","0","1","0","1","0",
"터널안","16시-18시","12월","부상자수[명]","명","16","9","10","37","28",
"터널안","18시-20시","전체","사고건수[건]","건","76","82","84","88","123",
"터널안","18시-20시","전체","사망자수[명]","명","2","3","2","1","1",
"터널안","18시-20시","전체","부상자수[명]","명","129","166","202","234","229",
"터널안","18시-20시","1월","사고건수[건]","건","5","11","2","5","10",
"터널안","18시-20시","1월","사망자수[명]","명","0","0","0","0","0",
"터널안","18시-20시","1월","부상자수[명]","명","9","17","6","21","17",
"터널안","18시-20시","2월","사고건수[건]","건","3","2","4","4","2",
"터널안","18시-20시","2월","사망자수[명]","명","0","0","0","1","0",
"터널안","18시-20시","2월","부상자수[명]","명","5","6","8","8","3",
"터널안","18시-20시","3월","사고건수[건]","건","3","4","10","13","12",
"터널안","18시-20시","3월","사망자수[명]","명","0","0","0","0","0",
"터널안","18시-20시","3월","부상자수[명]","명","3","10","17","23","19",
"터널안","18시-20시","4월","사고건수[건]","건","9","10","10","4","12",
"터널안","18시-20시","4월","사망자수[명]","명","2","1","0","0","0",
"터널안","18시-20시","4월","부상자수[명]","명","11","29","19","6","27",
"터널안","18시-20시","5월","사고건수[건]","건","7","7","6","8","17",
"터널안","18시-20시","5월","사망자수[명]","명","0","0","0","0","0",
"터널안","18시-20시","5월","부상자수[명]","명","16","18","12","26","43",
"터널안","18시-20시","6월","사고건수[건]","건","6","7","9","12","9",
"터널안","18시-20시","6월","사망자수[명]","명","0","0","0","0","0",
"터널안","18시-20시","6월","부상자수[명]","명","10","16","19","34","15",
"터널안","18시-20시","7월","사고건수[건]","건","11","8","6","11","11",
"터널안","18시-20시","7월","사망자수[명]","명","0","2","0","0","0",
"터널안","18시-20시","7월","부상자수[명]","명","19","15","14","52","25",
"터널안","18시-20시","8월","사고건수[건]","건","8","10","8","4","8",
"터널안","18시-20시","8월","사망자수[명]","명","0","0","0","0","0",
"터널안","18시-20시","8월","부상자수[명]","명","14","22","22","6","13",
"터널안","18시-20시","9월","사고건수[건]","건","9","6","6","8","12",
"터널안","18시-20시","9월","사망자수[명]","명","0","0","1","0","0",
"터널안","18시-20시","9월","부상자수[명]","명","14","12","12","17","29",
"터널안","18시-20시","10월","사고건수[건]","건","5","9","4","11","10",
"터널안","18시-20시","10월","사망자수[명]","명","0","0","0","0","0",
"터널안","18시-20시","10월","부상자수[명]","명","12","11","5","26","11",
"터널안","18시-20시","11월","사고건수[건]","건","6","3","9","6","9",
"터널안","18시-20시","11월","사망자수[명]","명","0","0","0","0","0",
"터널안","18시-20시","11월","부상자수[명]","명","10","3","45","10","13",
"터널안","18시-20시","12월","사고건수[건]","건","4","5","10","2","11",
"터널안","18시-20시","12월","사망자수[명]","명","0","0","1","0","1",
"터널안","18시-20시","12월","부상자수[명]","명","6","7","23","5","14",
"터널안","20시-22시","전체","사고건수[건]","건","28","36","27","30","45",
"터널안","20시-22시","전체","사망자수[명]","명","0","2","2","3","0",
"터널안","20시-22시","전체","부상자수[명]","명","45","76","37","46","67",
"터널안","20시-22시","1월","사고건수[건]","건","3","3","1","2","5",
"터널안","20시-22시","1월","사망자수[명]","명","0","0","0","0","0",
"터널안","20시-22시","1월","부상자수[명]","명","7","4","1","2","8",
"터널안","20시-22시","2월","사고건수[건]","건","1","2","2","3","4",
"터널안","20시-22시","2월","사망자수[명]","명","0","1","0","0","0",
