RECV_DEPT_NM,RECV_CPLT_DM,NPA_CL,EVT_STAT_CD,EVT_CL_CD,RPTER_SEX,HPPN_PNU_ADDR,HPPN_X,HPPN_Y,SME_EVT_YN
충남청,1606785893,19,10,215,1,충청남도 아산시 도고면 금산리(행정:도고면) 산63-16,126.863625,36.744534,-1
충남청,1606785214,8,10,215,1,서울특별시 용산구 이촌동(행정:이촌1동) 302-90,126.96757,37.52058,-1
충남청,1606786296,19,10,215,2,충청남도 공주시 금흥동(행정:월송동) 산16-5,127.14576,36.484783,-1
충남청,1606799968,19,10,215,2,충청남도 아산시 용화동(행정:온양5동) 712,126.99708,36.77242,-1
대전청,1606792373,13,10,215,3,대전광역시 대덕구 법동(법1동) 282-11,127.42722,36.370556,-1
대전청,1606787029,13,10,215,2,대전광역시 서구 관저동(행정:관저2동) 1422,127.34405,36.300655,-1
충남청,1606781986,19,10,215,1,충청남도 서산시 음암면 부장리(행정:음암면) 890,126.50554,36.777355,-1
충남청,1606782788,19,10,215,1,충청남도 당진시 읍내동(행정:당진1동) 230-1,126.632835,36.89564,-1
충남청,1606784673,19,10,215,1,충청남도 아산시 둔포면 둔포리(행정:둔포면) 445-27,127.03737,36.931313,-1
충남청,1606783331,19,10,215,2,충청남도 홍성군 홍북읍 갈산리(행정:홍북읍) ,126.71382,36.663677,1
충남청,1606783442,19,10,215,2,충청남도 서산시 해미면 읍내리(해미면) 336-5,126.5456,36.712383,-1
충남청,1606784709,19,10,215,1,충청남도 아산시 둔포면 둔포리(행정:둔포면) 420-8,127.03661,36.92729,-1
충남청,1606782846,19,10,215,1,충청남도 당진시 읍내동(행정:당진1동) 230-1,126.632835,36.89564,-1
충남청,1606782961,19,10,215,1,충청남도 아산시 둔포면 운용리(행정:둔포면) 338-2,127.05735,36.934116,-1
충남청,1606783139,19,10,215,1,충청남도 논산시 은진면 연서리(행정:은진면) 502-6,127.10276,36.15829,-1
충남청,1606781120,19,10,215,2,충청남도 천안시 동남구 다가동(일봉동) 365-9(우림빌라 가동 101호),127.14516,36.800667,-1
충남청,1606781073,19,10,215,2,충청남도 논산시 강산동(행정:부창동) 568,127.08826,36.194515,-1
충남청,1606781626,19,10,215,1,충청남도 홍성군 홍성읍 오관리(행정:홍성읍) ,126.66591,36.600433,-1
충남청,1606783403,19,10,215,2,충청남도 홍성군 홍북읍 갈산리(행정:홍북읍) ,126.71382,36.663677,1
충남청,1606783582,31,10,215,2,세종특별자치시 세종시 조치원읍 교리(행정:조치원읍) 129-1,127.29649,36.605644,-1
충남청,1606792863,19,10,215,1,충청남도 공주시 정안면 전평리(행정:정안면) 5-7,127.11448,36.56877,-1
충남청,1606790971,19,10,215,2,충청남도 보령시 주산면 야룡리(행정:주산면) 260,126.62359,36.201675,-1
대전청,1606788871,13,10,215,2,대전광역시 유성구 봉명동(온천1동) 568-7,127.336044,36.35369,-1
충남청,1606790161,19,10,215,1,충청남도 천안시 동남구 다가동(행정:일봉동) 548,127.1445,36.802185,1
충남청,1606790176,19,10,215,2,충청남도 홍성군 장곡면 월계리(행정:장곡면) 584-1,126.7232,36.53481,-1
충남청,1606790672,19,10,215,1,충청남도 천안시 동남구 다가동(행정:일봉동) 548,127.1445,36.802185,1
충남청,1606789585,19,10,215,1,충청남도 홍성군 홍북읍 신경리(행정:홍북읍) 1204,126.68248,36.64637,-1
충남청,1606790483,19,10,215,2,충청남도 아산시 장존동(행정:온양6동) 305,127.01167,36.74762,-1
충남청,1606806898,31,10,215,2,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 257-1,127.29255,36.604828,-1
충남청,1606809262,19,10,215,2,충청남도 천안시 서북구 백석동(행정:백석동) 910,127.11814,36.819843,-1
충남청,1606804613,19,10,215,2,충청남도 보령시 대천동(대천2동) 199-3,126.59685,36.34998,-1
충남청,1606804651,19,10,215,2,충청남도 천안시 서북구 불당동(행정:불당동) 1537,127.1084,36.813606,-1
충남청,1606807978,19,10,215,1,충청남도 아산시 배방읍 구령리(행정:배방읍) 148-2,127.05284,36.77761,-1
충남청,1606805491,19,10,215,2,충청남도 서산시 동문동(행정:동문1동) 765-1,126.455536,36.785244,-1
충남청,1606805757,31,10,215,2,세종특별자치시 세종시 보람동(행정:보람동) 670,127.29108,36.477783,-1
충남청,1606806024,19,10,215,2,충청남도 천안시 서북구 백석동(행정:백석동) 868,127.12534,36.822063,-1
충남청,1606806650,19,10,215,2,충청남도 서산시 잠홍동(행정:동문1동) 248-2,126.481316,36.789356,-1
충남청,1606824068,19,10,215,2,충청남도 천안시 동남구 삼룡동(행정:청룡동) 156-5,127.17386,36.78247,-1
충남청,1606817628,19,10,215,1,충청남도 당진시 읍내동(행정:당진1동) 38-4,126.64018,36.89426,-1
대전청,1606813425,13,10,215,2,대전광역시 유성구 죽동(행정:노은2동) 629,127.32538,36.378742,-1
충남청,1606813496,19,10,215,2,충청남도 아산시 배방읍 장재리(배방읍) 1767,127.10784,36.796017,-1
충남청,1606821132,31,10,215,2,세종특별자치시 세종시 금남면 용포리(행정:금남면) 139-2,127.2811,36.46447,-1
충남청,1606815535,19,10,215,2,충청남도 천안시 서북구 쌍용동(행정:쌍용1동) 891,127.12981,36.807163,-1
충남청,1606817961,19,10,215,2,충청남도 천안시 서북구 와촌동(봉명동) 106-22,127.14424,36.81006,1
충남청,1606819180,31,10,215,1,세종특별자치시 세종시 금남면 용포리(행정:금남면) 320,127.27812,36.46263,-1
충남청,1607010122,19,10,215,2,충청남도 천안시 동남구 신부동(행정:신안동) 494-1,127.15999,36.81944,1
대전청,1606896477,13,10,215,1,0,127.40466,36.341686,-1
충남청,1606901424,19,10,215,2,충청남도 공주시 계룡면 월암리(행정:계룡면) 47-7,127.14196,36.360798,-1
대전청,1606896343,13,10,215,3,대전광역시 동구 삼성동(행정:삼성동) 322-1,127.422165,36.34061,-1
충남청,1606893827,19,10,215,1,충청남도 서산시 지곡면 무장리(행정:지곡면) 920,126.44655,36.84253,-1
충남청,1606900926,19,10,215,2,충청남도 천안시 서북구 성환읍 성환리(행정:성환읍) 449-77,127.128624,36.916927,-1
충남청,1606899642,19,10,215,2,충청남도 홍성군 홍성읍 고암리(행정:홍성읍) 1071,126.677155,36.601074,-1
충남청,1606892060,19,10,215,2,충청남도 부여군 규암면 반산리(행정:규암면) 307,126.86238,36.272266,-1
충남청,1606894877,31,10,215,2,세종특별자치시 세종시 아름동(행정:아름동) 1284,127.24657,36.51278,-1
대전청,1606896172,13,10,215,1,대전광역시 동구 삼성동(행정:삼성동) 322-1,127.422165,36.34061,-1
충남청,1606904840,19,10,215,1,충청남도 아산시 용화동(행정:온양5동) 1395,127.00669,36.773434,-1
충남청,1606892968,31,10,215,2,세종특별자치시 세종시 고운동(행정:고운동) 172-1,127.23873,36.513287,-1
충남청,1606905243,19,10,215,1,충청남도 천안시 서북구 성환읍 매주리(행정:성환읍) 21,127.143555,36.91004,-1
충남청,1606900467,19,10,215,2,충청남도 예산군 덕산면 사천리(행정:덕산면) 6-18,126.624405,36.65695,-1
충남청,1606905404,19,10,215,2,충청남도 아산시 영인면 아산리(행정:영인면) ,126.95402,36.855488,-1
충남청,1606901120,8,10,215,2,서울특별시 노원구 공릉동(행정:공릉1동) 379-12,127.071594,37.62683,-1
충남청,1606901732,19,10,215,2,충청남도 천안시 동남구 봉명동(행정:봉명동) 67-13,127.13705,36.80921,-1
충남청,1606907348,19,10,215,2,충청남도 천안시 서북구 성환읍 성환리(행정:성환읍) 449-77,127.12853,36.91701,-1
충남청,1606877977,19,10,215,2,충청남도 예산군 신암면 계촌리(행정:신암면) 259,126.832756,36.743004,1
대전청,1606879777,13,10,215,2,대전광역시 동구 성남동 거주자,127.43618,36.340927,-1
충남청,1606876818,19,10,215,1,충청남도 태안군 소원면 파도리(행정:소원면) 산179,126.13508,36.730892,-1
충남청,1606889835,19,10,215,1,충청남도 천안시 동남구 청당동(행정:청룡동) 481,127.15611,36.78683,-1
대전청,1606890415,13,10,215,1,대전광역시 대덕구 평촌동(행정:덕암동) 177-11,127.43552,36.43706,-1
충남청,1606872461,19,10,215,2,충청남도 서천군 마서면 송내리(행정:마서면) 464-6,126.71455,36.02183,-1
충남청,1606869382,19,10,215,2,충청남도 공주시 신관동(행정:신관동) 606-4,127.13298,36.46884,-1
충남청,1606886439,19,10,215,2,충청남도 아산시 음봉면 산동리(음봉면) 430-12,127.10027,36.827915,-1
세종,1606878937,31,10,215,2,세종특별자치시 세종시 한솔동(행정:한솔동) 984,127.25148,36.47468,-1
충남청,1606870838,19,10,215,2,충청남도 당진시 읍내동(당진1동) 255-6(V 당진효명프라자),126.63492,36.89694,-1
충남청,1606875796,19,10,215,2,충청남도 부여군 부여읍 가탑리(행정:부여읍) 78,126.9285,36.27195,-1
충남청,1606885411,31,10,215,2,세종특별자치시 세종시 다정동(행정:새롬동) 4-11,127.250755,36.497887,-1
충남청,1606881708,19,10,215,1,충청남도 천안시 서북구 성거읍 송남리(행정:성거읍) 18-1,127.19972,36.871544,-1
충남청,1606882184,19,10,215,1,충청남도 천안시 동남구 신방동(행정:신방동) 909,127.13058,36.78714,-1
충남청,1606880532,19,10,215,2,충청남도 예산군 신암면 계촌리(행정:신암면) 259,126.832756,36.743004,1
충남청,1606880711,19,10,215,2,충청남도 서산시 대산읍 대죽리(대산읍) 640-89,126.40167,37.01043,-1
충남청,1606874978,19,10,215,1,충청남도 아산시 온천동(행정:온양1동) 1439,126.9973,36.78947,-1
충남청,1606873678,19,10,215,1,충청남도 천안시 서북구 성성동(부성2동) 907,127.120804,36.8426,-1
충남청,1606880943,19,10,215,1,충청남도 아산시 둔포면 봉재리(행정:둔포면) 58-4,127.04181,36.88487,-1
충남청,1606874414,19,10,215,1,충청남도 천안시 동남구 원성동(행정:원성2동) ,127.15872,36.80633,-1
대전청,1606878951,13,10,215,2,대전광역시 유성구 궁동(행정:온천2동) 220,127.35374,36.369186,-1
충남청,1606881337,19,10,215,1,충청남도 천안시 동남구 원성동(원성2동) 509-1,127.15883,36.80614,-1
대전청,1606881670,13,10,215,2,대전광역시 중구 문화동 거주자,127.404976,36.320103,-1
대전청,1606882256,13,10,215,2,대전광역시 중구 중촌 거주자,127.40456,36.34169,-1
충남청,1606872812,19,10,215,2,충청남도 아산시 모종동(행정:온양3동) 637,127.02144,36.78354,-1
충남청,1606873222,19,10,215,2,충청남도 천안시 서북구 성거읍 모전리(행정:성거읍) 60-2,127.202034,36.909492,-1
대전청,1606876854,13,10,215,1,대전광역시 동구 정동(행정:정동) ,127.43406,36.330242,-1
충남청,1606878630,19,10,215,2,충청남도 천안시 서북구 성환읍 성환리(행정:성환읍) 449-385,127.1276,36.92015,-1
대전청,1606872274,13,10,215,1,0,127.40466,36.341686,-1
대전청,1606968960,13,10,215,2,0,127.40466,36.341686,-1
대전청,1606972908,13,10,215,1,0,127.40466,36.341686,-1
충남청,1606971840,19,10,215,1,충청남도 금산군 남일면 신천리(행정:남일면) 788,127.488625,36.026222,-1
충남청,1606976056,19,10,215,1,충청남도 천안시 서북구 성환읍 성환리(행정:성환읍) 449-77,127.128624,36.916927,-1
충남청,1606956003,19,10,215,1,충청남도 공주시 금학동(행정:금학동) 250-3,127.11987,36.44221,-1
충남청,1606970392,31,10,215,2,세종특별자치시 세종시 반곡동(행정:소담동) 813,127.30538,36.497658,-1
충남청,1606973271,19,10,215,1,충청남도 천안시 동남구 광덕면 매당리(광덕면) 225-5,127.11029,36.70619,-1
충남청,1606982339,19,10,215,2,충청남도 천안시 동남구 안서동(행정:신안동) 379-4,127.1813,36.84182,-1
충남청,1606982557,19,10,215,1,충청남도 서산시 운산면 소중리(운산면) 251,126.549805,36.789146,-1
대전청,1606961416,13,10,215,2,0,127.40466,36.341686,-1
충남청,1606978417,19,10,215,2,충청남도 아산시 신창면 읍내리(행정:신창면) 578-6,126.93517,36.7727,-1
충남청,1606978401,19,10,215,2,충청남도 아산시 음봉면 동암리(음봉면) 271-16 ,127.06825,36.842575,-1
충남청,1606980899,19,10,215,3,충청남도 예산군 삽교읍 신리(삽교읍) 산43-2,126.68389,36.673332,-1
충남청,1606981533,19,10,215,1,충청남도 아산시 용화동(행정:온양5동) 1375,127.00388,36.772633,-1
충남청,1606981606,19,10,215,1,충청남도 천안시 서북구 두정동(행정:부성1동) 63-6,127.14792,36.8308,-1
대전청,1606981375,13,10,215,2,0,127.40466,36.341686,-1
대전청,1606975146,13,10,215,1,대전광역시 대덕구 신대동(행정:회덕동) 358,127.420006,36.397766,-1
대전청,1606976859,13,10,215,1,대전광역시 서구 탄방동(행정:탄방동) 707,127.38725,36.348316,-1
충남청,1606956897,19,10,215,2,충청남도 논산시 취암동(행정:취암동) 1040-23,127.08968,36.203926,-1
충남청,1606956892,31,10,215,1,세종특별자치시 세종시 연동면 합강리(행정:연동면) 118-2,127.32808,36.519203,-1
충남청,1606958608,19,10,215,2,충청남도 천안시 동남구 안서동(행정:신안동) 441-5,127.174164,36.841225,-1
충남청,1606978898,19,10,215,1,충청남도 보령시 미산면 평라리(미산면) 24-2(단층(스라브건물),126.68083,36.244843,-1
충남청,1606958793,19,10,215,1,충청남도 아산시 탕정면 명암리(탕정면) 196 ,127.06416,36.81426,-1
충남청,1606960464,19,10,215,1,충청남도 공주시 웅진동(행정:웅진동) 242-12,127.110565,36.456425,-1
충남청,1606974355,19,10,215,1,충청남도 아산시 탕정면 매곡리(탕정면) 609-1,127.08197,36.79274,-1
충남청,1606960436,31,10,215,2,세종특별자치시 세종시 도담동(도담동) 65-17 ,127.2645,36.513203,-1
충남청,1606977577,19,10,215,1,충청남도 서산시 석림동(행정:수석동) 807-22,126.4699,36.770958,-1
충남청,1606977623,19,10,215,2,충청남도 당진시 읍내동(당진1동) 232-1(국민은행 당진),126.63288,36.895027,1
대전청,1606958118,13,10,215,1,대전광역시 서구 갈마동(행정:갈마1동) 293-10,127.368576,36.35282,-1
충남청,1606973365,19,10,215,1,충청남도 천안시 서북구 성거읍 신월리(행정:성거읍) 3-3,127.15813,36.8787,1
충남청,1606977940,19,10,215,1,충청남도 태안군 태안읍 송암리(행정:태안읍) 501-3,126.296326,36.72016,-1
충남청,1606979313,19,10,215,1,충청남도 서산시 읍내동(부춘동) 67-5,126.44794,36.7742,-1
충남청,1606979280,19,10,215,1,충청남도 천안시 동남구 청당동(행정:청룡동) 442,127.14636,36.78633,-1
대전청,1606960125,13,10,215,1,대전광역시 서구 둔산동(행정:둔산3동) 2285,127.40221,36.34902,-1
대전청,1606970688,13,10,215,1,0,127.40466,36.341686,-1
충남청,1606980708,19,10,215,1,충청남도 아산시 권곡동(행정:온양3동) 530-24,127.01424,36.788136,-1
충남청,1606980317,19,10,215,2,충청남도 천안시 서북구 직산읍 양당리(행정:직산읍) 256-16,127.11167,36.876156,-1
충남청,1606979663,19,10,215,3,충청남도 천안시 동남구 청당동(청룡동) 469,127.14894,36.78524,-1
충남청,1606958545,19,10,215,1,충청남도 천안시 서북구 업성동(행정:부성1동) 174-1,127.13676,36.857536,-1
대전청,1606961040,13,10,215,2,대전광역시 서구 둔산동(행정:둔산3동) ,127.40062,36.35102,-1
충남청,1606972174,19,10,215,2,충청남도 아산시 탕정면 호산리(행정:탕정면) 210-30,127.07901,36.80876,-1
충남청,1606974792,19,10,215,2,충청남도 아산시 배방읍 공수리(행정:배방읍) 988-1,127.04451,36.7649,-1
충남청,1606975278,19,10,215,1,충청남도 예산군 예산읍 관작리(행정:예산읍) 333-7,126.83426,36.71365,-1
충남청,1606970116,19,10,215,1,충청남도 금산군 추부면 마전리(추부면) 909,127.46687,36.191185,-1
충남청,1606988188,19,10,215,1,충청남도 홍성군 장곡면 신풍리(행정:장곡면) 580,126.697174,36.48213,-1
충남청,1606982876,19,10,215,2,충청남도 부여군 홍산면 북촌리(홍산면) 188-7 ,126.760376,36.216755,1
충남청,1606983028,19,10,215,2,충청남도 부여군 홍산면 북촌리(홍산면) 188-7 ,126.760376,36.216755,1
충남청,1606997633,19,10,215,1,충청남도 홍성군 홍성읍 옥암리(행정:홍성읍) 1105,126.65638,36.59227,-1
충남청,1606983157,19,10,215,2,충청남도 예산군 신양면 대덕리(행정:신양면) 991,126.88746,36.593266,-1
충남청,1606983749,31,10,215,1,세종특별자치시 세종시 종촌동(행정:종촌동) 679,127.2432,36.50529,-1
충남청,1606985452,19,10,215,2,충청남도 천안시 서북구 쌍용동(행정:쌍용2동) 1539,127.11787,36.798943,-1
대전청,1606986389,13,10,215,2,대전광역시 동구 인동(신인동) 137-11 ,127.44026,36.32373,-1
충남청,1606953141,19,10,215,1,충청남도 태안군 원북면 반계리(행정:원북면) 307,126.25689,36.82192,-1
충남청,1606955386,31,10,215,1,세종특별자치시 세종시 어진동(행정:도담동) 494,127.26062,36.503082,1
충남청,1606964901,19,10,215,1,충청남도 천안시 서북구 불당동(행정:불당동) 1280,127.09917,36.79676,-1
대전청,1606966293,13,10,215,1,대전광역시 대덕구 법동(행정:법2동) 193-3,127.43243,36.36753,-1
충남청,1606952931,31,10,215,1,세종특별자치시 세종시 부강면 문곡리(부강면) 747-1,127.38938,36.529377,-1
대전청,1606962949,13,10,215,2,대전광역시 대덕구 중리동(행정:중리동) 323-20,127.421135,36.362755,-1
충남청,1606964418,19,10,215,1,충청남도 천안시 동남구 안서동(행정:신안동) 181,127.19079,36.830055,-1
충남청,1606963507,19,10,215,2,충청남도 서산시 읍내동(행정:부춘동) 37-4,126.44801,36.77666,-1
대전청,1606963536,13,10,215,2,0,127.40466,36.341686,-1
충남청,1606968341,19,10,215,2,충청남도 천안시 서북구 불당동(행정:불당동) ,127.10806,36.817772,-1
충남청,1606967924,19,10,215,2,충청남도 천안시 서북구 성환읍 성환리(행정:성환읍) 449-77,127.128624,36.916927,-1
대전청,1606862039,13,10,215,2,대전광역시 서구 탄방동(탄방동거주자,127.39988,36.347115,-1
충남청,1606830516,19,10,215,2,충청남도 서산시 읍내동(행정:부춘동) 814-17,126.4435,36.77619,-1
충남청,1606833922,19,10,215,2,충청남도 공주시 계룡면 월암리(행정:계룡면) 47-7,127.14196,36.360798,-1
대전청,1607081681,13,10,215,2,0,127.40466,36.341686,1
대전청,1607073941,13,10,215,2,대전광역시 대덕구 오정동(오정동) 379-12,127.41338,36.35059,-1
충남청,1607084112,19,10,215,2,충청남도 천안시 서북구 입장면 도림리(행정:입장면) 341-1,127.24547,36.914062,-1
충남청,1607075326,11,10,215,1,인천광역시 남동구 구월동(행정:구월3동) 1132-19,126.70415,37.452282,-1
충남청,1607076777,19,10,215,1,충청남도 공주시 신관동(행정:신관동) 247-14,127.141,36.472874,-1
충남청,1607099356,19,10,215,2,충청남도 태안군 안면읍 중장리(행정:안면읍) 340,126.406944,36.485184,1
충남청,1607099014,19,10,215,2,충청남도 태안군 안면읍 중장리(행정:안면읍) 340,126.406944,36.485184,1
대전청,1607066188,13,10,215,1,대전광역시 유성구 신성동(행정:신성동) 216-2,127.34994,36.386852,-1
대전청,1607061051,13,10,215,2,대전광역시 서구 도마동(행정:도마1동) 117-1,127.38514,36.32183,-1
충남청,1607069344,19,10,215,1,충청남도 공주시 송선동(월송동) 508-1,127.164986,36.476646,1
충남청,1607057313,19,10,215,1,충청남도 천안시 서북구 두정동(행정:부성2동) 707,127.131966,36.8332,-1
충남청,1607059905,19,10,215,2,충청남도 천안시 서북구 쌍용동(쌍용2동) 1367,127.11565,36.80106,-1
충남청,1607060076,19,10,215,1,충청남도 공주시 금학동(행정:금학동) 250-3,127.11987,36.44221,-1
충남청,1607062251,19,10,215,1,충청남도 천안시 서북구 직산읍 군서리(행정:직산읍) 441-3,127.14314,36.89257,-1
충남청,1607068070,31,10,215,1,세종특별자치시 세종시 종촌동(행정:종촌동) 641,127.24323,36.50857,-1
충남청,1607062198,19,10,215,1,충청남도 천안시 서북구 백석동(행정:백석동) 336-2,127.11557,36.82506,-1
충남청,1607064193,19,10,215,1,충청남도 당진시 신평면 금천리(행정:신평면) 458,126.77354,36.885567,-1
충남청,1607068285,31,10,215,2,세종특별자치시 세종시 새롬동(행정:새롬동) 산78,127.24706,36.482384,-1
충남청,1607066577,19,10,215,2,충청남도 공주시 신관동(신관동) 651-2,127.136,36.473557,-1
대전청,1607071113,13,10,215,2,대전광역시 서구 복수동(행정:복수동) 292-14,127.37297,36.308758,-1
충남청,1607058293,19,10,215,2,충청남도 천안시 서북구 성정동(성정2동) 928(한일은행성정동지점),127.135544,36.81983,-1
충남청,1607071690,19,10,215,1,충청남도 논산시 연무읍 마산리(연무읍) 346-13,127.11087,36.112144,-1
충남청,1607067843,19,10,215,2,충청남도 천안시 서북구 차암동(부성2동) 550,127.10509,36.8448,-1
충남청,1607066096,19,10,215,1,충청남도 당진시 읍내동(행정:당진1동) ,126.632744,36.895565,-1
대전청,1607065425,13,10,215,2,대전광역시 유성구 죽동(행정:노은2동) 629,127.32538,36.378742,-1
충남청,1607072151,19,10,215,2,충청남도 논산시 성동면 정지리(행정:성동면) 222-2,127.05796,36.22109,-1
충남청,1607059526,19,10,215,2,충청남도 아산시 모종동(행정:온양3동) 559-1,127.01288,36.786034,-1
충남청,1607064833,31,10,215,1,세종특별자치시 세종시 아름동(아름동) 1350,127.247055,36.511696,-1
충남청,1607064881,19,10,215,2,충청남도 아산시 풍기동(행정:온양6동) 404-33,127.02187,36.77121,-1
충남청,1607057283,19,10,215,2,충청남도 태안군 안면읍 승언리(행정:안면읍) 1207-21,126.34635,36.519604,-1
대전청,1607156876,13,10,215,2,대전광역시 서구 탄방동(행정:탄방동) 1200,127.39615,36.34783,-1
충남청,1607160498,19,10,215,1,충청남도 천안시 서북구 성정동(행정:성정2동) 1486,127.14005,36.826263,-1
충남청,1607155581,19,10,215,1,충청남도 보령시 천북면 하만리(행정:천북면) ,126.52762,36.480587,1
충남청,1607156280,19,10,215,2,충청남도 보령시 천북면 하만리(행정:천북면) ,126.52762,36.480587,1
충남청,1607155923,19,10,215,1,충청남도 천안시 동남구 봉명동(행정:봉명동) 41-1,127.13851,36.806316,-1
충남청,1607161862,19,10,215,2,충청남도 서산시 동문동(행정:동문2동) 1259,126.46638,36.78336,-1
대전청,1607168427,13,10,215,2,대전광역시 대덕구 중리동(행정:중리동) 390-20,127.42555,36.362305,-1
충남청,1607140171,19,10,215,1,충청남도 천안시 서북구 불당동(행정:불당동) 796-1,127.11406,36.805885,-1
충남청,1607132849,31,10,215,2,세종특별자치시 세종시 아름동(행정:아름동) 1350,127.24701,36.5117,-1
충남청,1607138523,19,10,215,2,충청남도 아산시 탕정면 용두리(행정:탕정면) 487,127.04715,36.799217,-1
충남청,1607131123,19,10,215,1,충청남도 서산시 읍내동(행정:부춘동) 873,126.44116,36.78398,-1
충남청,1607136072,19,10,215,2,충청남도 천안시 서북구 성정동(행정:성정2동) 628-19,127.14108,36.824154,-1
충남청,1607136154,19,10,215,1,충청남도 천안시 서북구 성거읍 송남리(행정:성거읍) 585,127.19809,36.86678,-1
충남청,1607133831,31,10,215,2,세종특별자치시 세종시 전의면 달전리(전의면) 270-1,127.17852,36.62485,-1
충남청,1607144059,19,10,215,2,충청남도 서산시 읍내동(행정:부춘동) ,126.44062,36.78355,-1
충남청,1607144797,31,10,215,2,세종특별자치시 세종시 조치원읍 번암리(행정:조치원읍) 53,127.297745,36.586437,-1
충남청,1607050520,19,10,215,1,충청남도 예산군 오가면 신장리(행정:오가면) 869-2,126.791176,36.667816,-1
충남청,1607049890,19,10,215,2,충청남도 천안시 서북구 쌍용동(쌍용2동) 1547,127.116554,36.79467,-1
충남청,1607045646,19,10,215,1,충청남도 부여군 은산면 가중리(행정:은산면) 36-2,126.851364,36.29583,-1
충남청,1607050649,19,10,215,2,충청남도 서천군 마서면 송내리(마서면) 464-6,126.714676,36.02163,-1
대전청,1607044912,13,10,215,1,대전광역시 서구 용문동(행정:용문동) 370-5,127.40181,36.34179,-1
충남청,1607046244,31,10,215,2,세종특별자치시 세종시 전의면 동교리(행정:전의면) ,127.20631,36.679207,-1
충남청,1607042094,19,10,215,2,충청남도 천안시 서북구 성환읍 성환리(행정:성환읍) 274-1,127.13434,36.91818,1
충남청,1607052999,19,10,215,1,충청남도 아산시 용화동(온양5동) 758,126.99523,36.772865,-1
충남청,1607042516,19,10,215,2,충청남도 논산시 연산면 청동리(행정:연산면) 127-15,127.200264,36.212696,-1
충남청,1607042653,19,10,215,2,충청남도 논산시 내동(행정:취암동) 272-7,127.09809,36.19015,-1
충남청,1607042757,19,10,215,1,충청남도 아산시 둔포면 운용리(행정:둔포면) 289-11,127.06305,36.934456,-1
충남청,1607050895,31,10,215,2,세종특별자치시 세종시 보람동(행정:보람동) 670,127.29108,36.477783,-1
충남청,1607051164,19,10,215,2,충청남도 천안시 동남구 다가동(행정:일봉동) 374-8,127.135544,36.80039,-1
대전청,1607051962,13,10,215,1,대전광역시 유성구 원신흥동(행정:원신흥동) 491-7,127.34385,36.342995,-1
충남청,1607056312,19,10,215,1,충청남도 아산시 권곡동(행정:온양3동) 610,127.011894,36.790462,-1
충남청,1607053426,31,10,215,2,세종특별자치시 세종시 금남면 영곡리(금남면) 63(V 새롬초등학교),127.26444,36.451187,-1
충남청,1607055082,19,10,215,1,충청남도 서산시 지곡면 환성리(행정:지곡면) 68-2,126.45124,36.899456,-1
